name,capital,date_admitted,population,area,income
Alabama,Montgomery,1819-12-14,5024279,52419,48123
Alaska,Juneau,1959-01-03,736081,663268,73181
Arizona,Phoenix,1912-02-14,7151502,113990,56581
Arkansas,Little,1836-06-15,3013756,53179,45869
California,Sacramento,1850-09-09,39538223,163696,71228
Colorado,Denver,1876-08-01,5773714,104094,69117
Connecticut,Hartford,1788-01-09,3605944,5567,76106
Delaware,Dover,1787-12-07,990837,1982,62852
Florida,Tallahassee,1845-03-03,21570527,65758,53267
Georgia,Atlanta,1788-01-02,10711908,59425,56183
Hawaii,Honolulu,1959-08-21,1455271,10931,77765
Idaho,Boise,1890-07-03,1839106,83569,52225
Illinois,Springfield,1818-12-03,12812508,57915,65030
Indiana,Indianapolis,1816-12-11,6785528,36418,54181
Iowa,Des,1846-12-28,3190369,55857,61691
Kansas,Topeka,1861-01-29,2940865,82278,56422
Kentucky,Frankfort,1792-06-01,4509342,42069,52295
Louisiana,Baton,1812-04-30,4661468,52069,49973
Maine,Augusta,1820-03-15,1344212,35385,56277
Maryland,Annapolis,1788-04-28,6185278,12407,80776
Massachusetts,Boston,1788-02-06,7033469,10565,77385
Michigan,Lansing,1837-01-26,10077331,96716,54909
Minnesota,Saint,1858-05-11,5706494,86935,68388
Mississippi,Jackson,1817-12-10,2963914,48430,43567
Missouri,Jefferson,1821-08-10,6160281,69715,53578
Montana,Helena,1889-11-08,1085407,147040,53386
Nebraska,Lincoln,1867-03-01,1961504,77358,59970
Nevada,Carson,1864-10-31,3104614,110577,60365
New Hampshire,Concord,1788-06-21,1377529,9349,73381
New Jersey,Trenton,1787-12-18,9288994,8722,82545
New Mexico,Santa,1912-01-06,2120220,121590,46744
New York,Albany,1788-07-26,20215751,54555,64894
North Carolina,Raleigh,1789-11-21,10453948,53819,52752
North Dakota,Bismarck,1889-11-02,779094,70704,61843
Ohio,Columbus,1803-03-01,11799448,44825,54021
Oklahoma,Oklahoma,1907-11-16,3963516,69898,50051
Oregon,Salem,1859-02-14,4237256,98381,60212
Pennsylvania,Harrisburg,1787-12-12,13011844,46055,59195
Rhode Island,Providence,1790-05-29,1098163,1214,63870
South Carolina,Columbia,1788-05-23,5124712,32020,50570
South Dakota,Pierre,1889-11-02,886667,77116,56521
Tennessee,Nashville,1796-06-01,6916897,42143,53320
Texas,Austin,1845-12-29,29183290,268596,64034
Utah,Salt,1896-01-04,3271616,84899,60365
Vermont,Montpelier,1791-03-04,643503,9616,57513
Virginia,Richmond,1788-06-25,8654542,42774,71535
Washington,Olympia,1889-11-11,7705281,71362,70979
West Virginia,Charleston,1863-06-20,1793716,24230,43469
Wisconsin,Madison,1848-05-29,5893718,65498,64168
Wyoming,Cheyenne,1890-07-10,576851,97914,62268
